,Year,Month,Positive_score,Negative_score,Neutral_score,Weekly Cases,New Historic Cases
0,2009.0,4.0,0.536,0.0,0.464,,
1,2009.0,6.0,0.454,0.014,0.532,,
2,2009.0,7.0,0.71,0.0,0.29,,
3,2009.0,9.0,0.694,0.0,0.306,,
4,2009.0,10.0,0.42400000000000004,0.046,0.5305,,
5,2009.0,11.0,0.35033333333333333,0.014,0.6353333333333334,,
6,2009.0,12.0,0.583,0.0,0.417,,
7,2010.0,1.0,0.213,0.23,0.558,,
8,2010.0,2.0,0.4026666666666667,0.017333333333333333,0.5796666666666667,,
9,2010.0,3.0,0.40900000000000003,0.0,0.5910000000000001,,
10,2010.0,4.0,0.21766666666666667,0.056999999999999995,0.7253333333333334,,
11,2010.0,9.0,0.419,0.074,0.507,,
12,2010.0,10.0,0.406,0.0,0.594,,
13,2010.0,11.0,0.42733333333333334,0.013333333333333334,0.5593333333333333,,
14,2011.0,2.0,0.35233333333333333,0.012666666666666666,0.6353333333333334,,
15,2011.0,4.0,0.433,0.008333333333333333,0.5586666666666668,,
16,2011.0,6.0,0.4465,0.0,0.5535,,
17,2011.0,7.0,0.664,0.0,0.336,,
18,2011.0,8.0,0.5335,0.0,0.4665,,
19,2011.0,9.0,0.3972857142857143,0.03885714285714286,0.564,,
20,2011.0,10.0,0.43583333333333335,0.007,0.5573333333333333,,
21,2011.0,11.0,0.387375,0.005375,0.6072500000000001,,
22,2011.0,12.0,0.5643333333333334,0.016,0.4197777777777778,,
23,2012.0,1.0,0.3467857142857143,0.0185,0.6347857142857143,,
24,2012.0,2.0,0.47958823529411765,0.012352941176470589,0.5080588235294118,,
25,2012.0,3.0,0.42144444444444445,0.022333333333333334,0.5563333333333333,,
26,2012.0,4.0,0.452,0.01328,0.53484,,
27,2012.0,5.0,0.44,0.02473076923076923,0.5353461538461539,,
28,2012.0,6.0,0.4172058823529412,0.02838235294117647,0.5544705882352942,,
29,2012.0,7.0,0.4646944444444444,0.0115,0.5238055555555555,,
30,2012.0,8.0,0.4823777777777778,0.01631111111111111,0.5012888888888889,,
31,2012.0,9.0,0.5236000000000001,0.012400000000000001,0.46395555555555557,,
32,2012.0,10.0,0.47967857142857145,0.014642857142857141,0.5056428571428572,,
33,2012.0,11.0,0.46263461538461537,0.021,0.5163269230769231,,
34,2012.0,12.0,0.4681578947368421,0.013605263157894737,0.5182105263157895,,
35,2013.0,1.0,0.5197948717948717,0.020307692307692308,0.45989743589743587,,
36,2013.0,2.0,0.4242553191489362,0.013936170212765959,0.5617872340425532,,
37,2013.0,3.0,0.4549850746268657,0.017164179104477612,0.512955223880597,,
38,2013.0,4.0,0.4408279569892473,0.015419354838709676,0.5222795698924732,,
39,2013.0,5.0,0.4623648648648649,0.01708108108108108,0.5205675675675675,,
40,2013.0,6.0,0.4498809523809524,0.016964285714285716,0.5331428571428571,,
41,2013.0,7.0,0.4534588235294118,0.011976470588235295,0.5228117647058823,,
42,2013.0,8.0,0.4614691358024691,0.023444444444444445,0.5027407407407407,,
43,2013.0,9.0,0.49776000000000004,0.013080000000000001,0.47922,,
44,2013.0,10.0,0.47537962962962965,0.020138888888888887,0.5044537037037037,,
45,2013.0,11.0,0.47069387755102043,0.021081632653061223,0.5081938775510204,,
46,2013.0,12.0,0.47186585365853656,0.026109756097560975,0.5020121951219512,,
47,2014.0,1.0,0.49536363636363634,0.0242020202020202,0.4804242424242424,,
48,2014.0,2.0,0.49738202247191016,0.025292134831460672,0.47733707865168534,,
49,2014.0,3.0,0.4747962962962963,0.022339506172839505,0.49053703703703705,,
50,2014.0,4.0,0.4596891891891892,0.023567567567567567,0.5167567567567568,,
51,2014.0,5.0,0.4775234899328859,0.01755704697986577,0.4982013422818792,,
52,2014.0,6.0,0.49204455445544554,0.016163366336633664,0.48686633663366335,,
53,2014.0,7.0,0.49487564766839376,0.019538860103626942,0.4803834196891192,,
54,2014.0,8.0,0.45954893617021275,0.021795744680851062,0.5186553191489361,,
55,2014.0,9.0,0.4869393939393939,0.017511363636363637,0.4879848484848485,,
56,2014.0,10.0,0.4822475570032574,0.01697394136807818,0.49426384364820847,,
57,2014.0,11.0,0.47878928571428575,0.01766785714285714,0.49996428571428575,,
58,2014.0,12.0,0.46057352941176466,0.021642156862745097,0.5128823529411765,,
59,2015.0,1.0,0.47664598540145986,0.014912408759124089,0.5047919708029197,,
60,2015.0,2.0,0.4930551470588235,0.015058823529411765,0.48820955882352945,,
61,2015.0,3.0,0.49579759519038075,0.0146312625250501,0.4855691382765531,,
62,2015.0,4.0,0.4623981481481481,0.015214814814814813,0.5168518518518519,,
63,2015.0,5.0,0.48290709459459463,0.015133445945945945,0.49857770270270274,,
64,2015.0,6.0,0.4859261538461538,0.013986153846153844,0.49548000000000003,,
65,2015.0,7.0,0.4760440528634361,0.014315712187958884,0.5052437591776799,,
66,2015.0,8.0,0.4808953642384106,0.01636953642384106,0.4974556291390729,,
67,2015.0,9.0,0.4793679706601467,0.019441320293398533,0.496299511002445,,
68,2015.0,10.0,0.47597403946002076,0.01915991692627207,0.4996760124610592,,
69,2015.0,11.0,0.4809269662921348,0.015983146067415733,0.4974676966292135,,
70,2015.0,12.0,0.4727169117647059,0.016112132352941178,0.509329044117647,,
71,2016.0,1.0,0.48477068214804064,0.016108853410740205,0.49766763425253996,,
72,2016.0,2.0,0.49530477356181146,0.015012239902080783,0.48846878824969403,,
73,2016.0,3.0,0.48099027552674234,0.01768557536466775,0.49889465153970824,,
74,2016.0,4.0,0.48549221645663454,0.014184581171237956,0.49513862120088953,,
